graphName, graphSize, graphEdges, minDegree, maxDegree, avgDegree, medianDegree, componentsAmount, largestComponentSize, smallestComponentSize
list, 10, 8, 1, 4, 1.6, 1, 3, 5, 2
matrix, 10, 8, 1, 4, 1.6, 1, 3, 5, 2
